2016-04-05:14:00:44[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:90 |timeout
2016-04-05:14:00:44[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:116 |!ok 关闭 this.recvBuf
2016-04-05:14:05:53[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:90 |timeout
2016-04-05:14:05:53[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:116 |!ok 关闭 this.recvBuf
2016-04-05:14:06:20[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:90 |timeout
2016-04-05:14:06:20[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:116 |!ok 关闭 this.recvBuf
2016-04-05:14:07:59[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:90 |timeout
2016-04-05:14:07:59[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:116 |!ok 关闭 this.recvBuf
2016-04-05:14:23:25[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:90 |timeout
2016-04-05:14:23:25[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:116 |!ok 关闭 this.recvBuf
2016-04-05:14:24:11[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:90 |timeout
2016-04-05:14:24:11[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:116 |!ok 关闭 this.recvBuf
2016-04-05:14:30:31[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:90 |timeout
2016-04-05:14:30:31[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:116 |!ok 关闭 this.recvBuf
2016-04-05:14:32:25[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:90 |timeout
2016-04-05:14:32:25[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:116 |!ok 关闭 this.recvBuf
2016-04-05:14:40:25[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:90 |timeout
2016-04-05:14:40:25[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:116 |!ok 关闭 this.recvBuf
2016-04-05:15:23:26[LOG_DEBUG]G:/gopath/src/github.com/Bulesxz/go/pake/pake.go:161 |id1Register*pake.MessageLogin
